Strata_ID_Number,D_Wh_Cancer,D_Bl_Cancer,D_Hi_Cancer,No_Exercise,Few_Fruit_Veg,Obesity,Smoker,Uninsured,Prim_Care_Phys_Rate,Community_Health_Center_Ind
11,20,-1111,-1111,13.2,77.4,16.1,17.5,9483,307.5,1
55,23,-1111,-1111,20.6,-1111.1,19.2,21.1,1494,14.6,2
59,-1111,-1111,-1111,25.5,84.3,-1111.1,16.5,1125,0,2
56,28,-1111,-1111,27.8,75.2,22.5,18.9,1410,31,2
30,-1111,-1111,-1111,27.8,85.3,23.2,30.2,3731,68.1,1
11,20,-1111,-1111,19.9,81.9,21.5,20.7,12750,76.4,2
57,29,-1111,-1111,28.6,84,-1111.1,23.9,1430,8.4,2
59,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,882,20.7,1
56,28,-1111,-1111,21.7,79.8,17.6,18.5,887,17,2
57,29,-1111,-1111,28.1,79.4,26.1,20.3,1001,6.6,2
60,-1111,-1111,-1111,30.5,88.5,20.5,22.3,1663,62.6,2
26,-1111,-1111,-1111,25.4,81.4,22.7,25.8,1678,54.6,2
26,-1111,-1111,-1111,28.7,81.5,27.9,25.9,4532,55.8,1
38,15,-1111,-1111,22.5,75.6,22.6,29.5,931,45.8,2
54,20,-1111,-1111,22.3,-1111.1,20.6,19.3,937,18.3,2
58,12,-1111,-1111,-1111.1,85.3,-1111.1,23.2,1019,52.5,2
62,17,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,714,12.8,1
60,-1111,-1111,-1111,30.8,83.5,29.1,26,1126,53,2
48,25,-1111,-1111,26.7,82.9,25.6,22.8,4804,42.1,2
57,29,-1111,-1111,24.1,82.8,25.7,23.3,946,48.6,2
56,28,-1111,-1111,-1111.1,88.9,-1111.1,-1111.1,653,29.9,2
60,-1111,-1111,-1111,27.8,79.8,24.5,28.3,1388,67.7,2
59,-1111,-1111,-1111,-1111.1,87.3,-1111.1,21.4,921,30.9,2
57,29,-1111,-1111,21.6,85.4,20.3,21.2,1605,48.1,2
54,20,-1111,-1111,-1111.1,-1111.1,-1111.1,20.3,691,25.2,2
9,12,11,-1111,21.3,82.8,22.8,24,34335,74.3,1
20,17,12,-1111,26.3,82.5,26.8,28,8821,51.3,1
55,23,-1111,-1111,23.5,79.4,26,23,1311,79.3,2
61,13,-1111,-1111,-1111.1,-1111.1,-1111.1,11.4,679,19,1
59,-1111,-1111,-1111,28,81.2,23.8,22,1138,37.7,2
15,14,15,-1111,20.1,81.3,20.5,23.7,15478,72.1,1
56,28,-1111,-1111,22.9,78.7,26,15.4,987,39.6,2
47,14,-1111,-1111,21.5,83.5,17.6,15.8,2348,49.6,2
17,12,-1111,-1111,14.8,79.9,17.2,16.2,5642,75,2
54,20,-1111,-1111,22.8,80.1,25.6,23.3,1837,27.9,2
61,13,-1111,-1111,29,85.8,27.3,26.2,955,0,2
60,-1111,-1111,-1111,23.8,78.2,28,24.9,1099,41.8,2
59,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,859,12.8,2
30,-1111,-1111,-1111,27.6,79.8,24.8,23.9,3982,89,1
47,14,-1111,-1111,21.1,81.7,26,20.4,2789,16.3,2
57,29,-1111,-1111,22.4,82.7,25.3,21.8,2006,46.6,2
61,13,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,842,30.3,1
30,-1111,-1111,-1111,28.2,83,26,24.4,3832,48.7,1
55,23,-1111,-1111,18.2,76.4,25.6,15.7,905,35.2,2
55,23,-1111,-1111,29.3,78.3,19.5,13.4,1287,75.4,2
15,14,15,-1111,26.1,82.9,23,28.6,13112,67.2,1
54,20,-1111,-1111,25.1,-1111.1,23.7,17.7,556,38.6,2
54,20,-1111,-1111,29,81.2,19.3,25.7,1314,36.6,2
43,15,-1111,-1111,33.1,-1111.1,27.8,26.6,1792,14.5,2
58,12,-1111,-1111,35.3,-1111.1,25.5,21.4,1171,36.7,2
40,12,-1111,-1111,28.8,81.6,25.4,21.6,1698,47.6,2
82,-1111,-1111,-1111,-1111.1,-1111.1,14.6,18,690,20.2,2
31,22,-1111,-1111,26.5,80.8,27,22.9,3707,64,1
63,-1111,-1111,-1111,31.9,-1111.1,21.2,24.2,2042,66.7,2
43,15,-1111,-1111,31.9,82.1,24.9,26.7,1416,97.7,2
45,15,-1111,-1111,22.8,81.3,25.7,21.7,5781,51.3,2
84,25,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,382,0,1
61,13,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,626,24.3,2
64,12,-1111,-1111,31.5,86.3,25.9,23.7,3103,13.9,1
81,14,-1111,-1111,-1111.1,-1111.1,-1111.1,12.9,576,33.9,2
79,-1111,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,306,131.4,2
58,12,-1111,-1111,29.9,-1111.1,29,19.1,950,92.7,2
58,12,-1111,-1111,25.3,83.7,20.7,19.6,1088,41,2
56,28,-1111,-1111,16.2,82.9,23.8,17,958,34.6,2
81,14,-1111,-1111,-1111.1,-1111.1,-1111.1,-1111.1,249,0,2
31,22,-1111,-1111,32.8,82.6,29.2,23.4,4344,59.5,2
50,12,17,-1111,23.8,81.2,23.6,24.8,5017,60.2,1
