Unique Visitors,Average Page Depth,Flight Searches,Fare Change Error,Revenue
570864,9,440607,220,15902538
634509,9,489740,292,17136276
829523,9,665198,414,24564590
1055751,9,1029958,765,43936128
999409,9,966906,769,43426379
960990,9,902248,621,38410404
836844,9,739046,564,34404090
628506,9,511592,310,19967600
769089,9,622422,375,23464788
1005218,9,927402,497,39005434
966821,9,931866,710,41894202
1074172,9,906318,922,40483378
960499,9,819051,635,36981556
848386,9,715061,675,34250262
631834,9,507576,258,21052946
770886,9,613463,336,24827928
1036285,9,934753,547,39741425
1030269,9,993197,576,43539662
991228,9,889959,615,38953758
955465,9,812936,609,35536240
831828,9,680859,424,30681791
629887,10,476133,214,18174418
776659,9,602925,310,22824491
1093600,9,929066,662,38134675
1005649,9,969889,1056,44123249
961050,9,867127,710,39472279
965086,9,802329,650,34686074
892309,9,710775,754,31724765
623390,9,473879,338,18302356
759675,9,595080,400,22879397
1033520,9,919888,633,38707397
1052250,9,968271,780,44210893
1006067,9,902516,764,41609958
954833,9,814195,649,37593912
1007582,9,792548,602,34510133
639650,10,505994,262,20618400
759478,10,600729,433,24846059
1040724,10,910266,683,39740182
1057536,10,849698,675,39780585
1022246,10,879255,819,41022804
982742,10,799490,1374,36030011
983010,9,676960,655,31697302
626728,10,465416,335,18891182
741118,10,558348,347,22366672
1034359,10,868925,708,36484905
1011047,10,897798,931,39856361
973537,10,830477,920,38267902
921631,10,743193,765,33198008
785784,10,622238,547,28242300
585416,10,428456,262,16629195
718337,10,527159,326,21129678
964192,10,822959,527,35020420
1077271,10,888506,753,40197464
1021349,10,832081,778,38464244
918157,10,753611,834,32466038
773500,10,631181,551,28159615
580833,12,447848,280,17406465
741915,10,619411,399,25609975
948065,10,850871,654,35966608
900781,10,864207,665,38210570
939690,10,797443,766,35220808
928155,10,720376,793,30445023
747073,10,582135,475,28462743
663265,10,485469,344,20012431
796728,10,658133,1560,28500466
1003939,10,859010,703,36851077
936317,10,870729,776,37724194
946375,10,841221,920,37463993
957245,10,834452,1489,32003913
824638,10,683584,574,28750700
615129,11,491156,317,17423309
758610,11,625735,428,22344770
998927,10,866614,728,32803285
1031719,10,884318,957,35334849
980245,11,826774,978,32211538
929008,10,762752,669,29700433
836118,10,670341,709,27320220
630993,12,563974,385,17155081
770753,12,708349,486,22212873
972479,11,947691,613,30574039
959564,13,965878,636,32259305
981959,12,918279,743,29697933
984672,11,855947,1326,25185487
845088,11,739559,602,23390333
635144,13,576753,365,14562900
689873,13,667595,610,17170288
944117,11,876395,801,26913794
988613,12,872717,698,28160022
860312,12,685216,558,22822756
511430,13,429399,282,10665314
648119,13,579401,321,15362570
649638,13,533093,282,12859073
969444,11,697986,344,16431856
1229054,12,1213945,789,34799429
960584,12,1014467,806,31938492
909824,12,913928,741,28424587
873217,12,830864,1335,24833574
761010,12,709173,501,22389512
603090,13,547914,287,13863682
734720,13,701429,491,16380754
966566,13,957534,540,24974696
940866,13,958345,613,26091932
884952,13,868606,1164,24318260
952399,13,809999,902,21307467
812935,13,688359,948,19766547
586829,14,511360,373,11981989
712873,13,615313,471,13811495
925691,12,836750,533,22294664
966448,11,862067,481,23618562
865855,12,764449,1401,21280002
879493,11,717500,519,19911193
816574,11,635073,463,19309078
650746,12,487116,253,11482297
682877,11,519321,326,11630332
902177,11,708464,413,19758981
815704,11,650942,505,19418587
